t,connectedPlugins,allowedPlugins,uptimeMs,framerate,MouthOpen,FaceAngleX,FaceAngleY,EyeOpenLeft,EyeLeftX,error
75.5150,2,1,7655245,58,0.0315301,-1.58776,-5.94929,0.784377,-0.0396113,
75.7960,2,1,7656396,58,0.0303382,-1.5024,-5.90316,0.789324,-0.0558585,
76.0930,2,1,7656396,58,0.0308581,-1.35621,-5.82346,0.796024,-0.0355787,
76.3750,2,1,7656396,58,0.0346634,-1.29386,-5.98257,0.283008,-0.031911,
76.6710,2,1,7656396,58,0.0247609,-1.20134,-6.30853,0.79298,-0.0364783,
76.9530,2,1,7657546,58,0.0218263,-1.13623,-6.10525,0.868562,-0.0290068,
77.2500,2,1,7657546,58,0.0243813,-0.991497,-6.3716,0.869198,0.0118491,
77.5310,2,1,7657546,58,0.0226231,-0.874205,-6.4388,0.853219,-0.00856434,
77.8120,2,1,7657546,58,0.019223,-0.895619,-6.3134,0.852818,-0.0130287,
78.0930,2,1,7658696,58,0.0191436,-1.14542,-6.4693,0.837506,-0.0192089,
78.3900,2,1,7658696,58,0.0199562,-1.36406,-6.20363,0.821098,-0.00576579,
78.6870,2,1,7658696,58,0.021368,-1.48421,-6.1827,0.587078,0.00765509,
78.9680,2,1,7658696,58,0.0240562,-1.58882,-6.21714,0.487224,0.0086238,
79.2500,2,1,7659847,58,0.0213975,-1.32823,-6.59484,0.807687,-0.0173866,
79.5460,2,1,7659847,58,0.0203757,-1.30875,-6.75798,0.835564,-0.0518586,
79.8280,2,1,7659847,58,0.0285862,-1.09368,-7.37517,0.85662,-0.026815,
80.1090,2,1,7659847,58,0.0345265,-1.11135,-7.84082,0.834953,-0.0482756,
80.4060,2,1,7660997,58,0.0320594,-1.17021,-7.90252,0.809932,-0.0568562,
80.7030,2,1,7660997,58,0.0286765,-1.60873,-8.2045,0.817664,-0.0289778,
80.9840,2,1,7660997,58,0.0275647,-1.72361,-8.26298,0.803401,-0.0638227,
81.2650,2,1,7660997,58,0.0279563,-1.89943,-8.32352,0.782812,-0.098119,
81.5460,2,1,7662148,58,0.0291315,-1.90273,-8.48333,0.805072,-0.113879,
81.8430,2,1,7662148,58,0.0279833,-2.55528,-8.07798,0.28474,-0.10507,
82.1250,2,1,7662148,58,0.0298811,-2.60414,-8.15217,0.590131,-0.0476505,
82.4210,2,1,7662148,58,0.0278586,-2.68341,-8.13998,0.757263,-0.042266,
82.7030,2,1,7663298,58,0.0278324,-2.592,-7.92391,0.803304,-0.114775,
83.0000,2,1,7663298,58,0.02825,-2.61211,-7.98011,0.745956,-0.0360158,
83.2650,2,1,7663298,58,0.026312,-2.43496,-7.81998,0.709015,-0.0378188,
83.5460,2,1,7663298,58,0.028858,-2.42967,-7.86779,0.753752,-0.124121,
83.8280,2,1,7664431,58,0.0284564,-2.52244,-7.75416,0.782155,-0.159744,
84.1400,2,1,7664431,58,0.0292286,-2.45182,-7.67767,0.700276,-0.0611711,
84.4210,2,1,7664431,58,0.0269983,-2.23748,-7.81967,0.67467,-0.051963,
84.7030,2,1,7664431,58,0.0255955,-2.11953,-8.1122,0.68394,-0.0517435,
84.9840,2,1,7665582,58,0.0284185,-2.15972,-7.01943,0.257422,-0.0508602,
85.2810,2,1,7665582,58,0.0272607,-1.64254,-6.55459,0.678472,-0.0575701,
85.5620,2,1,7665582,58,0.0248315,-1.15807,-6.29798,0.806456,-0.0687325,
85.8430,2,1,7665582,58,0.0299581,-0.89064,-5.65352,0.847922,-0.0383861,
86.1400,2,1,7666732,58,0.022247,-0.496687,-5.9571,0.848965,0.0184173,
86.4370,2,1,7666732,58,0.0254385,-1.29646,-6.68874,0.895999,0.0249873,
86.7180,2,1,7666732,58,0.0261319,-1.01267,-6.68717,0.901014,0.0586642,
87.0000,2,1,7666732,58,0.0233664,-1.19333,-6.1398,0.892448,0.076231,
87.2810,2,1,7667882,58,0.0208051,-1.30843,-6.47715,0.852322,-0.00961038,
87.5780,2,1,7667882,58,0.0210628,-1.38201,-6.52981,0.831518,-0.0679406,
87.8590,2,1,7667882,58,0.018593,-1.63463,-6.28783,0.839148,0.0219419,
